Name,Wait Time,Delivery Fee,Link
Total Wine & More (5170 Stevens Creek Blvd.),70 - 80 mins,3.49,https://postmates.com/store/total-wine-%26-more-5170-stevens-creek-blvd/GFqD9VllWzmb1oMRFu58Gg
xian kitchen,40 - 50 mins,3.99,https://postmates.com/store/xian-kitchen/1vc47DD9XXmOzes1qpgjQA
See's Candies (Sunnyvale VS),40 - 50 mins,4.99,https://postmates.com/store/sees-candies-sunnyvale-vs/kt4AqFx7XK69Co3GBo3ROw
Biscolata (949 Ruff Drive),35 - 45 mins,6.99,https://postmates.com/store/biscolata-949-ruff-drive/RarMsYxbU3ahgB1s1VHTQA
Origin of Cheesecakes - Santa Clara,40 - 50 mins,3.99,https://postmates.com/store/origin-of-cheesecakes-santa-clara/ZqwJxXf8T8OOrefMGESnUw
Wings Out (Milpitas),50 - 60 mins,12.99,https://postmates.com/store/wings-out-milpitas/L_rP_EeeUqSgaFliLg0Uig
Papa John's (1737b Berryessa Rd),50 - 60 mins,12.99,https://postmates.com/store/papa-johns-1737b-berryessa-rd/JmrIReHzTcWYvFd0VhxrCg
La Veracruzana Restaurant,45 - 55 mins,4.99,https://postmates.com/store/la-veracruzana-restaurant/O0DDz0kvXkaxpyaoosrXMA
Haidilao Hot Pot,30 - 40 mins,2.99,https://postmates.com/store/haidilao-hot-pot/FRazC6MySTCYtVyS3pjHKw
CAMPBELL LIQUORS & DELI,25 - 35 mins,6.49,https://postmates.com/store/campbell-liquors-%26-deli/ChhX0kSxT-eeb4nBYBq9nQ
Cold Stone Creamery (757 E El Camino Real Ste D),25 - 35 mins,3.99,https://postmates.com/store/cold-stone-creamery-757-e-el-camino-real-ste-d/0vr0jJ49RMa8v9YrblWAAw
Nox Cookie Bar,30 - 40 mins,8.99,https://postmates.com/store/nox-cookie-bar/FuD1kPSYSS-PIMQgjsnqzw
Starbucks (El Camino & Grant),20 - 30 mins,5.99,https://postmates.com/store/starbucks-el-camino-%26-grant/tzjoFTSeQ5Oys5X4dyBhOw
White Elephant Thai Cuisine,35 - 45 mins,4.99,https://postmates.com/store/white-elephant-thai-cuisine/e4RSnBftTBCCRBLtSTGlkg
Amber India Restaurant - Santana Row,35 - 45 mins,4.99,https://postmates.com/store/amber-india-restaurant-santana-row/s0tnaL8DTYabU-43EbS47A
Mendocino Farms - Santana Row,25 - 35 mins,4.99,https://postmates.com/store/mendocino-farms-santana-row/Uc1EKAwiROGKOfTvOAAOVQ
Philz Coffee (DeAnza - Cupertino),30 - 40 mins,3.99,https://postmates.com/store/philz-coffee-deanza-cupertino/cYC7kjGdQvSimNDhyxD4-Q
Tender Greens (2532 Augustine Dr),50 - 60 mins,3.99,https://postmates.com/store/tender-greens-2532-augustine-dr/hlTKt7e2RW-vXgIVV_LqOA
Vons Chicken Cupertino,35 - 45 mins,3.99,https://postmates.com/store/vons-chicken-cupertino/w5Z1-0c2RZuYmSsEZ5dWyQ
Sankranti,30 - 40 mins,3.99,https://postmates.com/store/sankranti/NPTp7chHS0WkdQ5kjsDrRg
Vegan Bowl Factory,45 - 55 mins,4.99,https://postmates.com/store/vegan-bowl-factory/W1d5X4EHQFuytn3Ry_kteQ
Tick-Tock Tikka House,40 - 50 mins,4.99,https://postmates.com/store/tick-tock-tikka-house/-X4vZv6gTn6H1dvvdvaaWw
Shanghai No. 1,40 - 50 mins,2.99,https://postmates.com/store/shanghai-no-1/W7TdPUh8S8G9cacu8csHnQ
Chaat Junction,40 - 50 mins,3.99,https://postmates.com/store/chaat-junction/IT3qAM8IQdaK3cOkPOfb8Q
Shake Shack (2855 Stevens Creek Boulevard),30 - 40 mins,5.99,https://postmates.com/store/shake-shack-2855-stevens-creek-boulevard/CZAkuYkYQPKShCcuuSXr7g
Din Tai Fung (Santa Clara),55 - 65 mins,2.99,https://postmates.com/store/din-tai-fung-santa-clara/Vh5Tms5vQMGXd5xsc4SHxw
sweetgreen (Sunnyvale),35 - 45 mins,4.99,https://postmates.com/store/sweetgreen-sunnyvale/VYSBCFosQ7a8XzXNGQfV_g
Bonchon Chicken (572 E El Camino Real),35 - 45 mins,2.99,https://postmates.com/store/bonchon-chicken-572-e-el-camino-real/-e7v3uJ_Tf-b9oBlzqnMvQ
"The Halal Guys -Sunnyvale, CA",30 - 40 mins,4.99,https://postmates.com/store/the-halal-guys-sunnyvale-ca/W47iPoJDSs6S_Kdnl5plsg
Saravana Bhavan,40 - 50 mins,3.99,https://postmates.com/store/saravana-bhavan/Zn5s2fhGS-yK92rUL6QmAQ
McDonald's® (Stelling Rd),15 - 25 mins,4.99,https://postmates.com/store/mcdonalds-stelling-rd/WJqx-hPSSRmEjzQXz8sf1g
Panda Express (5180 Stevens Creek Rd),20 - 30 mins,3.99,https://postmates.com/store/panda-express-5180-stevens-creek-rd/8w0khEaeSkqUXRaYCl2ihg
The Habit Burger Grill (20735 Stevens Creek Blvd),20 - 30 mins,3.99,https://postmates.com/store/the-habit-burger-grill-20735-stevens-creek-blvd/UWcgfS6xTMmHeu8AthRC2A
Subway (19110 Stevens Creek Blvd),20 - 30 mins,2.99,https://postmates.com/store/subway-19110-stevens-creek-blvd/qIkRAcptRECf5WdDeXb9GQ
KoJa Kitchen - Cupertino,20 - 30 mins,2.99,https://postmates.com/store/koja-kitchen-cupertino/SQaCoi_CRbSn4Sn5jOqhdg
Yoshinoya (Cupertino),20 - 30 mins,3.99,https://postmates.com/store/yoshinoya-cupertino/3wWeT3BcShaib7Zwqcnmcw
L&L Hawaiian BBQ (3580 Homestead Rd),20 - 30 mins,2.99,https://postmates.com/store/l%26l-hawaiian-bbq-3580-homestead-rd/nWZ-HJv3SPeZDQr4QneLpw
Starbucks (Homestead & DeAnza),20 - 30 mins,2.99,https://postmates.com/store/starbucks-homestead-%26-deanza/vNCKEjHeR3WK00kSyzv2-A
Carl's Jr. (1051 E El Camino Real),20 - 30 mins,3.99,https://postmates.com/store/carls-jr-1051-e-el-camino-real/QD-iWFmgSxGJISt_cs4Dqw
IHOP (1012 Miller Ave),35 - 45 mins,3.99,https://postmates.com/store/ihop-1012-miller-ave/GH0FHlE7SX6I6DhBI_r6HA
Jamba Juice - Sunnyvale,30 - 40 mins,3.99,https://postmates.com/store/jamba-juice-sunnyvale/0U38FtiHRtGoNzDtNLtXrQ
Popeyes (1551 Saratoga Ave),25 - 35 mins,4.99,https://postmates.com/store/popeyes-1551-saratoga-ave/z1aT_7zwRqG8OxmwlP6MnA
